what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1553604574314
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1553604603537
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1553604606193
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1553604607819
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1553604608694
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1553604661435
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1553604668270
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1553604679475
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1553604684710
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1553604685741
error,log,,,"Internal Error",1553604685991
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1553604687382
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1553604697555
error,log,,,"Internal Error",1553604697664
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1553604721213
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1553604725557
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1553604733183
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1553604739137
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1553604743653
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1553604748012
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1553604755202
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1553604760015
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1553604761797
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1553604765891
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1553604768969
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1553604791208
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1553604819069
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1553604825601
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1553604825976
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1553604841556
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1553604847135
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1553604855934
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1553604857622
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1553604858939
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1553604886146
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1553604892803
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1553604893085
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1553604915962
