what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1553687754803
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1553687755788
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1553687843510
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1553687845295
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1553687846467
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1553687859282
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1553687896192
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1553687910662
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1553687928007
closed,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1553687929038
opened,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1553687931304
activated,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1553687931507
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1553687935846
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1553687938737
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1553687951392
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1553687953212
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1553687961622
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1553687964606
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1553687966560
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1553687979529
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1553687982389
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1553687984967
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1553687986467
closed,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1553687988718
opened,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1553687990796
activated,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1553687990952
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1553688000985
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1553688002000
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1553688153758
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1553688155377
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1553688162268
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1553688166414
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1553688171646
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1553688200137
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1553688206043
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1553688235670
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1553688237374
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1553688239561
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1553688249731
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1553688253699
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1553688259747
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1553688261372
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1553688265091
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1553688269841
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1553688275373
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1553688275810
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1553688329754
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1553688337848
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1553688338239
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1553688338379
opened,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1553688338942
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1553688339145
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1553688363385
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1553688364057
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1553688384988
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1553688403397
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1553688414350
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1553688417819
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1553688419538
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1553688429663
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1553688430773
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1553688435810
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1553688450955
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1553688476803
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1553688489382
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1553688490992
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1553688495099
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1553688500880
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1553688508474
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1553688512803
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1553688512943
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1553688513100
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1553688513896
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1553688514084
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1553688518366
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1553688519631
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1553688523882
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1553688527601
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1553688530144
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1553688530300
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1553688531566
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1553688532269
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1553688539455
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1553688541727
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1553688541868
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1553688542024
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1553688542181
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1553688543212
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1553688544118
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1553688547795
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1553688550373
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1553688550498
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1553688550639
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1553688550827
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1553688550988
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1553688551160
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1553688551348
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1553688551519
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1553688551707
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1553688551894
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1553688552051
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1553688553191
